a: :prep.
abbandonare: :v.tr.
abbassare: :v.tr.
abbastanza: :avv.
abbracciare: :v.tr.
abitare: :v.intr. e tr., s.m.
abito: :s.m.
abituare: :v.tr.
abitudine: :s.f.
accadere: :v.intr.
accanto: :avv.
accendere: :v.tr.
accesso: :s.m.
accettare: :v.tr.
accogliere: :v.tr.
accompagnare: :v.tr.
accordo: :s.m.
accorgersi: :v.pronom.intr.
accusa: :s.f.
accusare: :v.tr.
acqua: :s.f.
acquistare: :v.tr. e intr.
acquisto: :s.m.
adatto: :agg.
addirittura: :avv.
addossare: :v.tr.
adesso: :avv.
adolescente: :agg., s.m. e f.
adorare: :v.tr.
adottare: :v.tr.
adulto: :agg., s.m.
aereo: :agg., s.m.
affare: :s.m.
affatto: :avv.
affermare: :v.tr.
affidare: :v.tr.
affrontare: :v.tr.
agente: :p.pres., agg., s.m. e f.
agenzia: :s.f.
aggiungere: :v.tr., v. intr.
agire: :v.intr.
agosto: :s.m.
aiutare: :v.tr.
aiuto: :s.m., inter.
ala: :s.f.
alba: :s.f.
albergo: :s.m.
albero: :s.m.
album: :s.m.inv.
alcuno: :agg.indef., pron.indef.m.
allontanare: :v.tr.
allora: :avv., cong.
allungare: :v.tr., v. intr.
almeno: :avv.
altezza: :s.f.
alto: :agg., s.m., avv.
altrettanto: :agg.indef., pron.indef., avv.
altrimenti: :avv.
altro: :agg.indef., pron.indef.m., avv.
alzare: :v.tr.
amante: :p.pres.,agg., s.m. e f.
amare: :v.tr.
ambientale: :agg.
ambiente: :s.m.,agg.
ambito: :s.m.
americano: :agg.,s.m.
amicizia: :s.f.
amico: :agg.,s.m.
ammazzare: :v.tr.
ammettere: :v.tr.
amministrazione: :s.f.
amore: :s.m.
ampio: :agg.,s.m.
analisi: :s.f.inv.
analizzare: :v.tr.
anche: :cong., avv.
ancora: :avv., cong.
andare: :v.intr.
anello: :s.m.
angelo: :s.m.
angolo: :s.m.
anima: :s.f.
animale: :s.m.
animare: :v.tr.
anno: :s.m.
annunciare: :v.tr.
ansia: :s.f.
aperto: :p.pass., agg., s.m., avv.
apertura: :s.f.
apparire: :v.intr.
appartamento: :s.m.
appartenere: :v.intr.
appena: :avv., cong.
applicare: :v.tr.
appoggiare: :v.tr. e intr.
apprezzare: :v.tr.
appuntamento: :s.m.
appunto: :avv.
aprile: :s.m.
aprire: :v.tr. e intr.
arabo: :agg., s.m.
arco: :s.m.
area: :s.f.
argomento: :s.m.
aria: :s.f.
arma: :s.f.
arrabbiarsi: :v.pronom.intr.
arrestare: :v.tr.
arrivare: :v.intr. e tr.
arrivo: :s.m.
arte: :s.f.
articolo: :s.m.
artista: :s.m. e f.
artistico: :agg., s.m.
ascoltare: :v.tr.
aspettare: :v.tr. e intr.
aspetto: :s.m.
assai: :avv., agg.indef.inv., s.m.inv.
assenza: :s.f.
assicurare: :v.tr.
assieme: :avv., s.m.
assistere: :v.intr. e tr.
associazione: :s.f.
assolutamente: :avv.
assoluto: :agg., s.m.
assumere: :v.tr.
assurdo: :agg., s.m.
atmosfera: :s.f.
attaccare: :v.tr. e intr.
attacco: :s.m.
atteggiamento: :s.m.
attendere: :v.tr. e intr.
attento: :agg.
attenzione: :s.f.
attesa: :s.f.
attimo: :s.m.
attività: :s.f.
attivo: :agg., s.m.
atto: :s.m.
attore: :s.m.
attorno: :avv.
attraversare: :v.tr.
attraverso: :prep., avv.
attuale: :agg.
aumentare: :v.tr. e intr.
aumento: :s.m.
auto: :s.f.inv.
autore: :s.m.
autorità: :s.f.inv.
autorizzare: :v.tr.
avanti: :avv., agg.inv., loc. di comando, prep., s.m.inv., s.m. e f.inv.
avanzare: :v.intr. e tr.
avere: :v.tr.,v. intr.
avvenire: :agg.inv., s.m.inv.
avventura: :s.f.
avvertire: :v.tr., v. intr.
avviare: :v.tr.
avvicinare: :v.tr.
avvocato: :s.m.
azienda: :s.f.
azione: :s.f.
azzurro: :s.m., agg.
baciare: :v.tr.
bacio: :s.m.
bagno: :s.m.
ballare: :v.intr. e tr.
bambina: :s.f.
bambino: :s.m.,agg.
banca: :s.f.
bar: :s.m.inv.
barca: :s.f.
basare: :v.tr.
base: :s.f.
basso: :agg.,s.m., avv.
bastare: :v.intr.
battaglia: :s.f.
battere: :v.tr. e intr., s.m.
battuta: :s.f.
beh: :inter.
bellezza: :s.f.
bello: :agg.,s.m.
bene: :avv., inter.
bene: :s.m.
bere: :v.tr., s.m.
bianco: :agg.,s.m.
bicchiere: :s.m.
biglietto: :s.m.
bisognare: :v.intr.
bisogno: :s.m.
bloccare: :v.tr.
blog: :s.m.inv.
blu: :agg.inv.,s.m.inv.
bocca: :s.f.
bordo: :s.m.
borsa: :s.f.
bosco: :s.m.
bottiglia: :s.f.
braccio: :s.m.
brano: :s.m.
bravo: :agg., s.m., inter.
breve: :agg., avv., s.f.
bruciare: :v.tr. e intr.
brutto: :agg.,s.m., avv.
buco: :s.m.
buio: :agg.,s.m.
buongiorno: :inter.
buono: :agg.,s.m., avv.
buttare: :v.tr. e intr.
caccia: :s.f.
cacciare: :v.tr.
cadavere: :s.m.
cadere: :v.intr.,s.m.
caffè: :s.m.inv.,agg.inv.
calcio: :s.m.
caldo: :agg.,s.m., avv.
calore: :s.m.
cambiamento: :s.m.
cambiare: :v.tr. e intr.
cambio: :s.m.
camera: :s.f.
camion: :s.m.inv.
camminare: :v.intr.,v.tr.
campagna: :s.f.
campione: :s.m.
campo: :s.m.
canale: :s.m.
cancellare: :v.tr.
candidato: :p.pass.,agg., s.m.
cane: :s.m.
cantare: :v.tr. e intr.
canto: :s.m.
canzone: :s.f.
capace: :agg.
capacità: :s.f.inv.
capello: :s.m.
capire: :v.tr., v. intr.
capitale: :agg.,s.m., s.f.
capitano: :s.m.
capitare: :v.intr.,v.tr.
capitolo: :s.m.
capo: :s.m.
carabiniere: :s.m.
carattere: :s.m.
caratteristica: :s.f.
caratterizzare: :v.tr.
carcere: :s.m.
carica: :s.f., loc. di comando
caricare: :v.tr.
carico: :s.m.
carino: :agg.
carne: :s.f.
caro: :agg.,   avv., s.m.
carriera: :s.f.
carta: :s.f.
casa: :s.f.
casino: :s.m.
caso: :s.m.
cassa: :s.f.
castello: :s.m.
categoria: :s.f.
catena: :s.f.
cattivo: :agg., s.m.
cattolico: :agg., s.m.
causa: :s.f.
causare: :v.tr.
cavaliere: :s.m.
cavallo: :s.m.
cazzo: :s.m.
ce: :pron.pers. di prima pers.pl., avv.
cedere: :v.intr. e tr.
cellula: :s.f.
cellulare: :agg., s.m.
cena: :s.f.
centinaio: :s.m.
cento: :agg.num.card.inv., s.m.inv.
centrale: :agg., s.m. e f.
centro: :s.m.
cercare: :v.tr.
certamente: :avv.
certezza: :s.f.
certo: :agg., agg.indef., pron.indef.m., s.m., avv.
cervello: :s.m.
che: :pron.rel., pron. interr., pron.escl., pron.indef.inv.,agg.interr., agg.escl., s.m.inv.
chi: :pron.rel.,pron.rel.indef., pron.indef., pron.interr.
chiamare: :v.tr.
chiaramente: :avv.
chiarire: :v.tr., v. intr.
chiaro: :agg., s.m., avv.
chiave: :s.f.
chiedere: :v.tr. e intr.
chiesa: :s.f.
chilometro: :s.m.
chimico: :agg., s.m.
chissà: :avv.
chiudere: :v.tr. e intr.
chiunque: :pron.indef., pron.rel.indef.
chiuso: :p.pass., agg., s.m., avv.
ci: :pron.pers. di prima pers.pl., pron.dimostr., avv.
ciao: :inter.
ciascuno: :agg.indef., pron.indef.m.
cibo: :s.m.
cielo: :s.m.
cifra: :s.f.
cinema: :s.m.inv.
cinese: :agg., s.m. e f.
cinquanta: :agg. num.card.inv., s.m.inv.
cinque: :agg.num.card.inv., s.m.inv., s.f.pl.
ciò: :pron.dimostr.inv.
cioè: :cong.
circa: :prep., avv., s.m.inv.
circondare: :v.tr.
circostanza: :s.f.
citare: :v.tr.
città: :s.f.inv.
cittadino: :agg., s.m.
civile: :agg., s.m.
classe: :s.f.
classico: :agg., s.m.
cliente: :s.m. e f.
coda: :s.f.
codice: :s.m.
cogliere: :v.tr.
coglione: :s.m.
coinvolgere: :v.tr.
collega: :s.m. e f.
collegare: :v.tr. e intr.
collo: :s.m.
colonna: :s.f.
colore: :s.m.
coloro: :pron.dimostr.m. e f.pl.
colpa: :s.f.
colpire: :v.tr.
colpo: :s.m.
coltello: :s.m.
combattere: :v.intr. e tr.
come: :avv., cong.
cominciare: :v.tr. e intr., s.m.
commentare : :v.tr.
commento: :s.m.
commerciale: :agg., s.m.
commettere: :v.tr.  e intr.
commissario: :s.m.
commissione: :s.f.
comodo: :agg., s.m.
compagnia: :s.f.
compagno: :s.m., agg.
comparire: :v.intr.
compiere: :v.tr.
compito: :s.m.
complesso: :agg.
completamente: :avv.
completo: :agg.,s.m.
comporre: :v.tr.
comportamento: :s.m.
comportare: :v.tr.
comprare: :v.tr.
comprendere: :v.tr.
compreso: :p.pass., agg.
computer: :s.m.inv.
comune: :agg.,s.m., s.f.
comune: :s.m.
comunicare: :v.tr. e intr.
comunicazione: :s.f.
comunista: :agg., s.m. e f.
comunità: :s.f.inv.
comunque: :avv., cong.
con: :prep.
concentrare: :v.tr.
concerto: :s.m.
concetto: :p.pass.,agg., s.m.
concludere: :v.tr., v. intr.
conclusione: :s.f.
concreto: :agg.,s.m.
condannare: :v.tr.
condividere: :v.tr.
condizione: :s.f.
condurre: :v.tr. e intr.
confermare: :v.tr.
confine: :s.m.
confondere: :v.tr.
confronto: :s.m.
conoscenza: :s.f.
conoscere: :v.tr., v. intr.
conquistare: :v.tr.
consegnare: :v.tr.
conseguenza: :s.f.
consentire: :v.tr. e intr.
conservare: :v.tr.
considerare: :v.tr.
considerazione: :s.f.
consigliare: :v.tr.
consiglio: :s.m.
consumare: :v.tr.
contare: :v.tr. e intr.
contatto: :s.m.
contemporaneo: :agg., s.m.
contenere: :v.tr.
contento: :agg.
contenuto: :p.pass., agg., s.m.
contesto: :s.m.
continuare: :v.tr. e intr.
continuo: :agg., s.m., avv.
conto: :s.m.
contrario: :agg., s.m.
contratto: :s.m.
contro: :prep., avv., s.m.inv.
controllare: :v.tr.
controllo: :s.m.
conversazione: :s.f.
convincere: :v.tr.
copia: :s.f.
coppia: :s.f.
coprire: :v.tr.
coraggio: :s.m., inter.
corda: :s.f.
corpo: :s.m.
correggere: :v.tr.
corrente: :p.pres., agg., s.f., s.m., avv.
correre: :v.intr. e tr.
corriere: :s.m.
corrispondere: :v.intr. e tr.
corsa: :s.f.
corso: :s.m.
corte: :s.f.
corto: :agg.
cosa: :s.f.
coscienza: :s.f.
così: :avv.
cosiddetto: :agg.
costa: :s.f.
costare: :v.intr.
costituire: :v.tr.
costo: :s.m.
costringere: :v.tr.
costruire: :v.tr.
costruzione: :s.f.
costume: :s.m.
creare: :v.tr.
credere: :v.intr. e tr., s.m.
credito: :s.m.
crescere: :v.intr. e tr.
crescita: :s.f.
crisi: :s.f.inv.
cristiano: :agg., s.m.
critica: :s.f.
critico: :agg., s.m.
cucina: :s.f.
cucinare: :v.tr.
cui: :pron.rel.
culo: :s.m.
cultura: :s.f.
culturale: :agg.
cuore: :s.m.
cura: :s.f.
curare: :v.tr.
curioso: :agg., s.m.
da: :prep.
danno: :s.m.
dare: :v.tr. e intr., s.m.
data: :s.f.
dato: :p.pass., agg., s.m.
davanti: :avv., agg.inv., s.m.inv.
davvero: :avv.
debito: :s.m.
debole: :agg., s.m. e f.
decidere: :v.tr. e intr.
decina: :s.f.
decisione: :s.f.
dedicare: :v.tr.
definire: :v.tr.
definitivo: :agg., s.m.
definizione: :s.f.
democrazia: :s.f.
denaro: :s.m.
dente: :s.m.
dentro: :avv., prep., s.m.
denunciare: :v.tr.
